  ao# atom#  elem  type  max-exp  min-exp
  133     5     C    Px  2.9e-01  2.9e-01
  134     5     C    Py  2.9e-01  2.9e-01
  135     5     C    Pz  2.9e-01  2.9e-01
  136     5     C    Px  1.0e-01  1.0e-01
  137     5     C    Py  1.0e-01  1.0e-01
  138     5     C    Pz  1.0e-01  1.0e-01
  139     6     C    Px  3.5e+01  8.1e-01
  140     6     C    Py  3.5e+01  8.1e-01
  141     6     C    Pz  3.5e+01  8.1e-01
  142     6     C    Px  2.9e-01  2.9e-01
  143     6     C    Py  2.9e-01  2.9e-01
  144     6     C    Pz  2.9e-01  2.9e-01
  145     6     C    Px  1.0e-01  1.0e-01
  146     6     C    Py  1.0e-01  1.0e-01
  147     6     C    Pz  1.0e-01  1.0e-01
  148     7     C    Px  3.5e+01  8.1e-01
  149     7     C    Py  3.5e+01  8.1e-01
  150     7     C    Pz  3.5e+01  8.1e-01
  151     7     C    Px  2.9e-01  2.9e-01
  152     7     C    Py  2.9e-01  2.9e-01
  153     7     C    Pz  2.9e-01  2.9e-01
  154     7     C    Px  1.0e-01  1.0e-01
  155     7     C    Py  1.0e-01  1.0e-01
  156     7     C    Pz  1.0e-01  1.0e-01
  157     8     H    Px  8.0e-01  8.0e-01
  158     8     H    Py  8.0e-01  8.0e-01
  159     8     H    Pz  8.0e-01  8.0e-01
  160     9     H    Px  8.0e-01  8.0e-01
  161     9     H    Py  8.0e-01  8.0e-01
  162     9     H    Pz  8.0e-01  8.0e-01
  163    10     H    Px  8.0e-01  8.0e-01
  164    10     H    Py  8.0e-01  8.0e-01
  165    10     H    Pz  8.0e-01  8.0e-01
  166    11     H    Px  8.0e-01  8.0e-01
  167    11     H    Py  8.0e-01  8.0e-01
  168    11     H    Pz  8.0e-01  8.0e-01
  169    12     H    Px  8.0e-01  8.0e-01
  170    12     H    Py  8.0e-01  8.0e-01
  171    12     H    Pz  8.0e-01  8.0e-01
  172    13     H    Px  8.0e-01  8.0e-01
  173    13     H    Py  8.0e-01  8.0e-01
  174    13     H    Pz  8.0e-01  8.0e-01
  175    14     H    Px  8.0e-01  8.0e-01
  176    14     H    Py  8.0e-01  8.0e-01
  177    14     H    Pz  8.0e-01  8.0e-01
  178    15     H    Px  8.0e-01  8.0e-01
  179    15     H    Py  8.0e-01  8.0e-01
  180    15     H    Pz  8.0e-01  8.0e-01
  181    16     H    Px  8.0e-01  8.0e-01
  182    16     H    Py  8.0e-01  8.0e-01
  183    16     H    Pz  8.0e-01  8.0e-01
  184    17     H    Px  8.0e-01  8.0e-01
  185    17     H    Py  8.0e-01  8.0e-01
  186    17     H    Pz  8.0e-01  8.0e-01
  187    18     H    Px  8.0e-01  8.0e-01
  188    18     H    Py  8.0e-01  8.0e-01
  189    18     H    Pz  8.0e-01  8.0e-01
  190    19     H    Px  8.0e-01  8.0e-01
  191    19     H    Py  8.0e-01  8.0e-01
  192    19     H    Pz  8.0e-01  8.0e-01
  193    20     H    Px  8.0e-01  8.0e-01
  194    20     H    Py  8.0e-01  8.0e-01
  195    20     H    Pz  8.0e-01  8.0e-01
  196    21     H    Px  8.0e-01  8.0e-01
  197    21     H    Py  8.0e-01  8.0e-01
  198    21     H    Pz  8.0e-01  8.0e-01
  199     0    Cl   Dxy  6.5e-01  6.5e-01
  200     0    Cl   Dxz  6.5e-01  6.5e-01
  201     0    Cl   Dyz  6.5e-01  6.5e-01
  202     0    Cl   Dxx  6.5e-01  6.5e-01
  203     0    Cl   Dyy  6.5e-01  6.5e-01
  204     0    Cl   Dzz  6.5e-01  6.5e-01
  205     1     O   Dxy  1.2e+00  1.2e+00
  206     1     O   Dxz  1.2e+00  1.2e+00
  207     1     O   Dyz  1.2e+00  1.2e+00
  208     1     O   Dxx  1.2e+00  1.2e+00
  209     1     O   Dyy  1.2e+00  1.2e+00
  210     1     O   Dzz  1.2e+00  1.2e+00
  211     2     N   Dxy  1.0e+00  1.0e+00
  212     2     N   Dxz  1.0e+00  1.0e+00
  213     2     N   Dyz  1.0e+00  1.0e+00
  214     2     N   Dxx  1.0e+00  1.0e+00
  215     2     N   Dyy  1.0e+00  1.0e+00
  216     2     N   Dzz  1.0e+00  1.0e+00
  217     3     C   Dxy  8.0e-01  8.0e-01
  218     3     C   Dxz  8.0e-01  8.0e-01
  219     3     C   Dyz  8.0e-01  8.0e-01
  220     3     C   Dxx  8.0e-01  8.0e-01
  221     3     C   Dyy  8.0e-01  8.0e-01
  222     3     C   Dzz  8.0e-01  8.0e-01
  223     4     C   Dxy  8.0e-01  8.0e-01
  224     4     C   Dxz  8.0e-01  8.0e-01
  225     4     C   Dyz  8.0e-01  8.0e-01
  226     4     C   Dxx  8.0e-01  8.0e-01
  227     4     C   Dyy  8.0e-01  8.0e-01
  228     4     C   Dzz  8.0e-01  8.0e-01
  229     5     C   Dxy  8.0e-01  8.0e-01
  230     5     C   Dxz  8.0e-01  8.0e-01
  231     5     C   Dyz  8.0e-01  8.0e-01
  232     5     C   Dxx  8.0e-01  8.0e-01
  233     5     C   Dyy  8.0e-01  8.0e-01
  234     5     C   Dzz  8.0e-01  8.0e-01
  235     6     C   Dxy  8.0e-01  8.0e-01
  236     6     C   Dxz  8.0e-01  8.0e-01
  237     6     C   Dyz  8.0e-01  8.0e-01
  238     6     C   Dxx  8.0e-01  8.0e-01
  239     6     C   Dyy  8.0e-01  8.0e-01
  240     6     C   Dzz  8.0e-01  8.0e-01
  241     7     C   Dxy  8.0e-01  8.0e-01
  242     7     C   Dxz  8.0e-01  8.0e-01
  243     7     C   Dyz  8.0e-01  8.0e-01
  244     7     C   Dxx  8.0e-01  8.0e-01
  245     7     C   Dyy  8.0e-01  8.0e-01
  246     7     C   Dzz  8.0e-01  8.0e-01
